,District Name,CDS Number (District),CAASPP-ELA Standard Exceeded (Level 4) (District),CAASPP-ELA Standard Met (Level 3) (District),CAASPP-ELA Standard Nearly Met (Level 2) (District),CAASPP-ELA Standard Not Met (Level 1) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),American Indian or Alaska Native (CAASPP-ELA Levels 3 and 4) (District),Asian (CAASPP-ELA Levels 3 and 4) (District),Black or African American (CAASPP-ELA Levels 3 and 4) (District),Filipino (CAASPP-ELA Levels 3 and 4) (District),Hispanic or Latino (CAASPP-ELA Levels 3 and 4) (District),Native Hawaiian or Pac Islandr (CAASPP-ELA Levels 3 and 4) (District),Two or More Races (CAASPP-ELA Levels 3 and 4) (District),White (CAASPP-ELA Levels 3 and 4) (District),Males (CAASPP-ELA Levels 3 and 4) (District),Females (CAASPP-ELA Levels 3 and 4) (District)
494,Lucia Mar Unified (San Luis Obispo),40-68759-0000000,20.3,31.6,25.3,22.7,52,58.6,78,40.9,59.3,36,53.9,60.7,65.1,46.7,57.8
495,Luther Burbank (Santa Clara),43-69542-0000000,9.7,23.6,33.6,33,33.3,,redacted,redacted,redacted,31.8,redacted,redacted,redacted,27,39.5
496,Lynwood Unified (Los Angeles),19-64774-0000000,9.1,23.7,26.2,41.1,32.7,,58.3,24.2,redacted,33.1,5.3,redacted,39.3,27.1,38.6
497,Madera County Office of Education (Madera),20-10207-0000000,1.2,8.8,26.7,63.4,9.9,redacted,,redacted,,7.2,,redacted,22,7.6,13.3
498,Madera Unified (Madera),20-65243-0000000,8.3,24.1,28.1,39.5,32.4,36.4,58.7,29.5,72.2,30.8,redacted,47.6,48.5,26.7,38.2
499,Magnolia Elementary (Orange),30-66589-0000000,22.1,27,23,28,49,41.7,76.8,46.7,84.4,42.6,43.9,54.9,56.3,44.4,53.8
500,Magnolia Union Elementary (Imperial),13-63172-0000000,17.1,39.8,29.6,13.6,56.8,,redacted,,,51.4,,redacted,60.4,50,66.7
501,Mammoth Unified (Mono),26-73692-0000000,14.8,25.9,28.7,30.6,40.7,,redacted,redacted,redacted,23.2,redacted,redacted,67.7,35.6,45.7
502,Manchester Union Elementary (Mendocino),23-65573-0000000,0,40.7,25.9,33.3,40.7,,,,,22.2,,,redacted,27.3,50
503,Manhattan Beach Unified (Los Angeles),19-75333-0000000,51.1,33,10.8,5.1,84.1,redacted,93.7,65.4,75,76.1,redacted,90,83.2,80.1,88.2
504,Manteca Unified (San Joaquin),39-68593-0000000,12,29.2,26.9,31.9,41.2,30.8,53.7,28.6,65.5,35.6,44.2,48.3,48.7,35.7,46.9
505,Manzanita Elementary (Butte),04-61499-0000000,20.1,34.5,21.3,24.1,54.6,redacted,66.7,,,33.3,,redacted,72.9,45.1,63
506,Maple Creek Elementary (Humboldt),12-62935-0000000,redacted,redacted,redacted,redacted,redacted,redacted,,redacted,,redacted,,,redacted,redacted,redacted
507,Maple Elementary (Kern),15-63610-0000000,7.1,22.5,29.1,41.2,29.7,,,,,24.6,,,38.2,29.4,29.9
508,Marcum-Illinois Union Elementary (Sutter),51-71407-0000000,22.4,43,26.2,8.4,65.4,redacted,,redacted,,68.8,,redacted,67.5,59.1,69.8
509,Maricopa Unified (Kern),15-63628-0000000,2.5,11.2,32.9,53.4,13.7,redacted,,,,17.5,,redacted,11.2,11.3,16.1
510,Marin County Office of Education (Marin),21-10215-0000000,5,15,20,60,20,,redacted,redacted,,redacted,,redacted,redacted,26.7,redacted
511,Mariposa County Office of Education (Mariposa),22-10223-0000000,redacted,redacted,redacted,redacted,redacted,,,,,,,,redacted,redacted,redacted
512,Mariposa County Unified (Mariposa),22-65532-0000000,15,27.6,27.7,29.7,42.6,40.5,redacted,redacted,redacted,29.8,,42.9,45.5,34,51.4
513,Mark Twain Union Elementary (Calaveras),05-61572-0000000,15,27.5,25.4,32.1,42.5,redacted,redacted,redacted,redacted,31.5,,70,44.3,39.2,45.6
514,Mark West Union Elementary (Sonoma),49-70805-0000000,18.9,31.2,28,21.9,50.1,38.5,50,redacted,redacted,37.6,redacted,52.5,56.4,42.5,57.8
515,Martinez Unified (Contra Costa),07-61739-0000000,20.4,32.8,24.3,22.6,53.1,redacted,76.6,33.9,81.1,43.9,redacted,57.4,56.3,45.8,60.9
516,Marysville Joint Unified (Yuba),58-72736-0000000,10.7,24.9,25.2,39.2,35.6,31.8,32.3,26.9,77.3,31.2,50,46.5,41.1,29.7,41.6
517,Mattole Unified (Humboldt),12-75382-0000000,20.9,27.9,24.5,26.7,48.8,redacted,,redacted,,40.5,redacted,32.1,53.5,43.8,53.6
518,Maxwell Unified (Colusa),06-61606-0000000,15.1,25.4,26,33.5,40.5,redacted,redacted,,,28.7,redacted,redacted,60,33.3,48.8
519,McCabe Union Elementary (Imperial),13-63180-0000000,23.4,40.7,22.7,13.2,64.1,,92,redacted,redacted,61.3,redacted,redacted,78.1,64,64.2
520,McCloud Union Elementary (Siskiyou),47-70409-0000000,4.9,34.2,26.8,34.2,39,redacted,,,,redacted,,redacted,33.3,30,47.6
521,McFarland Unified (Kern),15-73908-0000000,6.1,21.3,26,46.7,27.3,redacted,36.4,redacted,redacted,27.4,,redacted,15.4,22.6,32.4
522,McKinleyville Union Elementary (Humboldt),12-62950-0000000,14.2,24.3,26.1,35.4,38.5,16.4,redacted,redacted,,29.4,redacted,36,44.1,33.2,44.2
523,McKittrick Elementary (Kern),15-63651-0000000,21.8,20,25.5,32.7,41.8,redacted,,,,redacted,,redacted,37,30.3,59.1
524,McSwain Union Elementary (Merced),24-65763-0000000,24.5,33.3,25.6,16.7,57.7,,71,redacted,redacted,45.5,redacted,81.3,66,52.2,64.5
525,Meadows Union Elementary (Imperial),13-63198-0000000,9.1,23.9,24.2,42.8,33,,,redacted,,29.6,redacted,redacted,54.1,27.6,37.6
526,Mendocino County Office of Education (Mendocino),23-10231-0000000,3,12.1,12.1,72.7,15.2,redacted,,,,5.6,redacted,redacted,redacted,17.4,redacted
527,Mendocino Unified (Mendocino),23-65581-0000000,23.9,33.1,27.6,15.4,57,redacted,redacted,redacted,redacted,41.4,redacted,redacted,57.8,42.7,72.9
528,Mendota Unified (Fresno),10-75127-0000000,9.5,26.1,26.5,38,35.5,,,redacted,,35.2,,redacted,55.6,31.6,39.6
529,Menifee Union Elementary (Riverside),33-67116-0000000,17.4,33.4,25.7,23.6,50.8,43.5,71.5,35.2,80.9,45.3,33.3,58.6,55,44.5,57.5
530,Menlo Park City Elementary (San Mateo),41-68965-0000000,53.7,28.4,11,6.9,82.1,redacted,89.2,40.7,redacted,51.3,26.1,86.6,89.3,78.6,85.8
531,Merced City Elementary (Merced),24-65771-0000000,11.7,25,25.5,37.8,36.7,33.3,49.7,23.9,73.6,31.4,40,49.1,54,31.6,41.8
532,Merced County Office of Education (Merced),24-10249-0000000,1.7,10.8,19.2,68.3,12.5,redacted,redacted,5.3,,11.4,,redacted,20,6.2,22.1
533,Merced River Union Elementary (Merced),24-73726-0000000,14.2,33,21.7,31.1,47.2,,,redacted,,43.1,,redacted,50,38,55.4
534,Merced Union High (Merced),24-65789-0000000,17.2,33,27.6,22.3,50.2,redacted,65.8,24.1,79.2,44.7,redacted,65.2,65.7,44,56.2
535,Meridian Elementary (Sutter),51-71415-0000000,6.7,8.3,21.7,63.3,15,redacted,,,,6.1,,redacted,20,8.6,24
536,Mesa Union Elementary (Ventura),56-72470-0000000,22.4,33.1,26.3,18.3,55.5,redacted,80,redacted,81.8,43.8,redacted,80,73.2,53.9,57
537,Middletown Unified (Lake),17-64055-0000000,14.5,31.6,27.8,26.1,46.1,redacted,redacted,redacted,redacted,36.5,redacted,58.6,48.7,38.7,53.5
538,Midway Elementary (Kern),15-63669-0000000,15.5,36.2,25.9,22.4,51.7,redacted,,,,redacted,,redacted,52.1,51.7,51.7
539,Mill Valley Elementary (Marin),21-65391-0000000,43.8,37.2,13.2,5.9,81,redacted,74.5,43.8,redacted,69,redacted,86.4,82.3,77.1,85.2
540,Millbrae Elementary (San Mateo),41-68973-0000000,32,33.7,20.4,13.8,65.8,redacted,75.9,66.7,79.1,45.8,46.7,66.4,59.9,61,70.5
541,Millville Elementary (Shasta),45-70052-0000000,30.4,36.3,17.9,15.5,66.7,redacted,,,redacted,54.6,,64.3,68.1,66.3,67.1
542,Milpitas Unified (Santa Clara),43-73387-0000000,37.5,31.3,16.8,14.4,68.8,50,82.4,45.4,69.2,42.7,42,58.6,69.6,64.1,73.8
543,Mission Union Elementary (Monterey),27-66084-0000000,14.4,23.3,34.4,27.8,37.8,,redacted,,redacted,30.8,,,50,31,43.8
544,Modesto City Elementary (Stanislaus),50-71167-0000000,7.6,20.4,25.5,46.6,28,35.7,39,16.6,82.8,23.2,30.6,33,45.8,24.9,31.2
545,Modesto City High (Stanislaus),50-71175-0000000,22.9,33.1,23.4,20.7,55.9,33.3,68.8,35.5,88.1,49.4,59.4,60.2,68.2,51.5,60.4
546,Modesto City Schools (Stanislaus),50-40717-0000000,,,,,,,,,,,,,,,
547,Modoc County Office of Education (Modoc),25-10256-0000000,0,15.4,23.1,61.5,15.4,,,redacted,,redacted,,,redacted,redacted,redacted
548,Modoc Joint Unified (Modoc),25-73585-0000000,7.8,27,30.1,35.2,34.7,29.7,redacted,redacted,redacted,23.1,redacted,54.6,38.6,24.7,45.8
549,Mojave Unified (Kern),15-63677-0000000,6.1,17,24,52.9,23.1,redacted,redacted,14.5,redacted,23.2,redacted,25.9,35.7,19.1,27
550,Mono County Office of Education (Mono),26-10264-0000000,redacted,redacted,redacted,redacted,redacted,,,redacted,,redacted,,,redacted,redacted,redacted
551,Monroe Elementary (Fresno),10-62323-0000000,5.5,22.7,33.6,38.2,28.2,,redacted,redacted,,26.3,,,redacted,19.3,37.7
552,Monrovia Unified (Los Angeles),19-64790-0000000,26.5,31.7,20.4,21.3,58.3,redacted,82.4,50.8,78.7,49.7,redacted,67.8,77.7,54.5,62.6
553,Monson-Sultana Joint Union Elementary (Tulare),54-72009-0000000,7.6,21.6,26.3,44.5,29.2,,redacted,,,26.5,redacted,redacted,53.3,25.9,32.3
554,Montague Elementary (Siskiyou),47-70417-0000000,4.9,23.5,32.4,39.2,28.4,redacted,redacted,redacted,,29.4,redacted,redacted,30.8,12.5,42.6
555,Monte Rio Union Elementary (Sonoma),49-70813-0000000,26.9,34.6,19.2,19.2,61.5,,redacted,,,redacted,,redacted,65.7,52.9,77.8
556,Montebello Unified (Los Angeles),19-64808-0000000,9.4,24.8,25.9,40,34.1,29.4,74.6,25.7,66.7,33,redacted,77.1,50.8,28.2,40.4
557,Montecito Union Elementary (Santa Barbara),42-69252-0000000,64.3,25.4,7.8,2.5,89.8,redacted,redacted,redacted,,70.6,,redacted,91.2,84.8,93.9
558,Monterey County Office of Education (Monterey),27-10272-0000000,13.4,19.1,26.4,41.1,32.5,redacted,redacted,redacted,redacted,28.1,redacted,redacted,30.4,25.4,41.7
559,Monterey Peninsula Unified (Monterey),27-66092-0000000,11.3,25,27.2,36.5,36.3,29.4,48.9,30.6,54.6,29.6,35.7,43.3,53.5,30.6,42.5
560,Montgomery Elementary (Sonoma),49-70821-0000000,5.3,42.1,42.1,10.5,47.4,,,,redacted,redacted,,,43.8,53.9,redacted
561,Moorpark Unified (Ventura),56-73940-0000000,30.9,31.7,21,16.4,62.5,redacted,86.6,63.4,87.5,44.5,redacted,81.5,76.9,57.8,67.2
562,Moraga Elementary (Contra Costa),07-61747-0000000,52.5,33.3,10.5,3.7,85.7,redacted,90.4,53.9,84.6,79.5,,89.2,85.2,82.2,89.2
563,Moreland (Santa Clara),43-69575-0000000,39.5,28.8,16.8,14.9,68.3,35,87.2,59,77,41.5,58.3,80.2,80.6,64,72.8
564,Moreno Valley Unified (Riverside),33-67124-0000000,8.7,21.6,25.8,44,30.3,28.9,50.1,22.1,70.7,29.2,28.9,33.9,42,25,35.8
565,Morgan Hill Unified (Santa Clara),43-69583-0000000,21.2,28.9,21.9,28,50.1,39.1,80.1,55.4,74,34.2,63.2,56.6,66.9,43,57.4
566,Morongo Unified (San Bernardino),36-67777-0000000,14.4,27.9,25.2,32.5,42.3,32.1,58.9,28.4,64.8,37.3,39.5,40.7,46.8,36,48.7
567,Mother Lode Union Elementary (El Dorado),09-61929-0000000,13.9,30.7,29.9,25.6,44.6,23.8,,redacted,redacted,38.5,redacted,16.7,51.2,38.8,50.7
568,Mount Pleasant Elementary (Santa Clara),43-69617-0000000,10.8,27,25.3,36.9,37.8,redacted,62.1,51.6,54.8,30.7,42.9,50,62.8,31.9,44
569,Mountain Elementary (Santa Cruz),44-69773-0000000,47.7,20,21.5,10.8,67.7,,,,,redacted,,redacted,71.2,55.9,80.7
570,Mountain Empire Unified (San Diego),37-68213-0000000,10.4,24.2,26.3,39.2,34.5,23.8,redacted,37.5,redacted,24.7,redacted,41.9,50.9,32.8,36.7
571,Mountain House Elementary (Alameda),01-61218-0000000,15.4,15.4,46.2,23.1,30.8,redacted,,,,redacted,redacted,,redacted,redacted,redacted
572,Mountain Union Elementary (Shasta),45-73700-0000000,0,24.3,32.4,43.2,24.3,redacted,,,,redacted,,redacted,20.8,13.3,31.8
573,Mountain Valley Unified (Trinity),53-75028-0000000,14.4,29.5,30.1,26,43.8,redacted,48,,,17.7,,33.3,52.7,38,49.3
574,Mountain View Elementary (Los Angeles),19-64816-0000000,11.3,24.2,25.5,39,35.5,,69.4,redacted,redacted,33.4,redacted,,redacted,32.3,38.9
575,Mountain View Elementary (San Bernardino),36-67785-0000000,15.2,32.3,27.4,25.1,47.5,redacted,71,36.8,79.2,44.5,redacted,63.6,59.6,41.4,53.9
576,Mountain View Whisman (Santa Clara),43-69591-0000000,38.4,27.6,18,15.9,66.1,redacted,85,58.9,63.3,43.9,57.9,81.6,85.3,62.1,70.2
577,Mountain View-Los Altos Union High (Santa Clara),43-69609-0000000,58.8,23.1,10.7,7.4,81.9,redacted,94,72.7,80,55,redacted,90,92.4,81.9,81.8
578,Mt. Baldy Joint Elementary (San Bernardino),36-67793-0000000,27,34.9,23.8,14.3,61.9,,redacted,redacted,,65.2,,redacted,57.6,57.9,68
579,Mt. Diablo Unified (Contra Costa),07-61754-0000000,21.3,28.8,22.6,27.4,50,48.8,68.8,27.3,67.1,32.1,33.1,61.7,67.7,44.8,55.5
580,Mt. Shasta Union Elementary (Siskiyou),47-70425-0000000,19,32.1,26.4,22.6,51.1,redacted,redacted,redacted,redacted,46,redacted,54.6,54.7,43.2,61.1
581,Mulberry Elementary (Imperial),13-63206-0000000,18,41,27.9,13.1,59,,,redacted,redacted,43.8,,redacted,71.4,60.9,57.9
582,Mupu Elementary (Ventura),56-72504-0000000,23.4,36.2,30.9,9.6,59.6,,,,,53.1,,redacted,75.9,53.9,63.6
583,Muroc Joint Unified (Kern),15-63685-0000000,14.5,31.8,23.3,30.5,46.3,redacted,redacted,29.9,59.4,37.4,redacted,54.2,52.4,40.4,52.3
584,Murrieta Valley Unified (Riverside),33-75200-0000000,24.9,36.7,23.1,15.4,61.6,58.1,71.9,48.7,79.7,53.5,59.6,62.8,67.6,56,67.4
585,Napa County Office of Education (Napa),28-10280-0000000,0,18.3,18.3,63.3,18.3,,,redacted,redacted,22.9,,redacted,redacted,20,15
586,Napa Valley Unified (Napa),28-66266-0000000,16.3,29.1,24.7,29.8,45.4,52,71.9,36.8,69.7,31.8,46.4,64.7,61.8,39.9,51.3
587,National Elementary (San Diego),37-68221-0000000,14.5,27.1,25.3,33.1,41.6,redacted,66.7,38.8,67.7,37.4,41.7,57.1,57.6,36.2,47
588,Natomas Unified (Sacramento),34-75283-0000000,16.1,26.9,24.5,32.5,43,37.5,57.3,23.7,59.3,35.5,36.2,46.8,58.1,36.7,49.4
589,Needles Unified (San Bernardino),36-67801-0000000,7.5,20.1,29.5,42.9,27.6,13.3,redacted,redacted,redacted,27.7,,37.5,32.7,24.1,31.7
590,Nevada City Elementary (Nevada),29-66340-0000000,24.9,33.2,23.6,18.3,58,redacted,redacted,redacted,redacted,51.1,redacted,70.4,59.5,48.5,66.8
591,Nevada County Office of Education (Nevada),29-10298-0000000,22.4,32.1,22.2,23.3,54.5,redacted,54.6,redacted,redacted,36.2,redacted,55.6,56.8,45.6,62.9
592,Nevada Joint Union High (Nevada),29-66357-0000000,35.2,33.2,20.5,11.1,68.4,redacted,redacted,redacted,redacted,65.5,,72.2,68.1,60.6,77.4
593,New Haven Unified (Alameda),01-61242-0000000,19.1,30.5,22.6,27.8,49.6,40,66.4,32.9,61.8,34.7,39.2,59,50.1,44.8,54.6
594,New Hope Elementary (San Joaquin),39-68619-0000000,8.1,20.2,36.3,35.5,28.2,,redacted,redacted,redacted,23.8,,redacted,redacted,24.6,31.3
595,New Jerusalem Elementary (San Joaquin),39-68627-0000000,7.4,21.1,27.7,43.7,28.6,redacted,29,6.7,redacted,23.3,redacted,18,37.5,24.6,32.5
596,Newark Unified (Alameda),01-61234-0000000,16.3,29.2,25.7,28.8,45.5,redacted,65,34.9,63.8,35.8,45,55,55.4,40.3,51.4
597,Newcastle Elementary (Placer),31-66852-0000000,30.3,40,18.4,11.3,70.3,redacted,redacted,redacted,redacted,60.4,,79.2,71.4,64.7,76.5
598,Newhall (Los Angeles),19-64832-0000000,42.3,28,15.4,14.4,70.2,69.2,91.1,65.6,86.1,53.8,redacted,85.2,84.6,65.5,75.4
599,Newman-Crows Landing Unified (Stanislaus),50-73601-0000000,13.3,27.3,25.4,34,40.6,redacted,redacted,33.3,redacted,36.8,redacted,51.2,57.1,34.8,46.5
600,Newport-Mesa Unified (Orange),30-66597-0000000,26.1,32.5,21.8,19.6,58.6,47.4,81,51.8,68,39.4,51.9,73.9,74.6,55.3,62.1
601,Nicasio (Marin),21-65409-0000000,22.6,48.4,25.8,3.2,71,,redacted,,,redacted,,,66.7,60,81.3
602,Norris Elementary (Kern),15-63693-0000000,23.1,36.8,22,18.1,59.9,39.4,76.8,40,77.4,54.8,redacted,71.5,60.7,55.4,64.8
603,North County Joint Union Elementary (San Benito),35-67504-0000000,23.3,37.8,22.7,16.2,61.1,,,redacted,,51.2,,redacted,73.6,56.5,65.6
604,North Cow Creek Elementary (Shasta),45-70078-0000000,19.9,33.9,26.3,19.9,53.8,redacted,redacted,redacted,,61.5,,50,53.3,49.5,59
605,North Monterey County Unified (Monterey),27-73825-0000000,7.9,20.8,25.1,46.3,28.7,redacted,36.4,redacted,63.2,26.1,redacted,54.6,43.5,23,34.8
606,Northern Humboldt Union High (Humboldt),12-62687-0000000,29.6,30.2,16.3,23.9,59.8,12.5,92.3,redacted,,39.5,redacted,51.4,66.3,54.8,64.4
607,Norwalk-La Mirada Unified (Los Angeles),19-64840-0000000,15,29.1,25.8,30.1,44.1,50,73.4,38.8,71.8,40.3,41.5,59.6,55.6,37.7,50.9
608,Novato Unified (Marin),21-65417-0000000,22.3,31.7,22.9,23.1,54,50,73,27,71.8,33.8,redacted,68.6,67.6,48.2,60.3
609,Nuestro Elementary (Sutter),51-71423-0000000,23.9,40.9,23.9,11.4,64.8,,88.2,,,55.6,,redacted,58.7,57.9,70
610,Nuview Union (Riverside),33-67157-0000000,17.6,29.2,25.9,27.4,46.7,redacted,redacted,35.7,redacted,44.4,redacted,37.5,56.8,40.2,52.9
611,Oak Grove Elementary (Santa Clara),43-69625-0000000,20.6,29.8,23,26.6,50.4,34.8,73.2,35.5,69.6,34.5,34,62.4,63.4,44.4,56.8
612,Oak Grove Union Elementary (Sonoma),49-70839-0000000,22.5,44.6,21.6,11.4,67,redacted,81.3,redacted,redacted,54.7,redacted,70.6,71.6,59.2,75.5
613,Oak Park Unified (Ventura),56-73874-0000000,45.5,33.9,15.1,5.5,79.4,redacted,88.5,77.1,70,69.3,redacted,84.8,77.3,74.8,83.9
614,Oak Run Elementary (Shasta),45-70086-0000000,9.4,31.3,21.9,37.5,40.6,redacted,,,,,,redacted,48.2,redacted,47.8
615,Oak Valley Union Elementary (Tulare),54-72017-0000000,10,31.5,27.9,30.6,41.5,redacted,redacted,redacted,redacted,36.5,,,62.5,38.3,44.6
616,Oak View Union Elementary (San Joaquin),39-68635-0000000,17.1,33.1,31,18.9,50.2,redacted,redacted,,redacted,32.2,redacted,64.3,64.5,43.2,57.9
617,Oakdale Joint Unified (Stanislaus),50-75564-0000000,16,30.4,26.9,26.7,46.4,38.5,54.1,36.4,85.7,34.6,redacted,48.3,53.4,42.6,50.7
618,Oakland Unified (Alameda),01-61259-0000000,11.9,19.9,22,46.2,31.9,30.4,47.5,18.2,40.9,23.6,23.1,60.7,68.4,27.2,36.6
619,Oakley Union Elementary (Contra Costa),07-61762-0000000,11.2,27.2,27.1,34.5,38.4,41.2,53.1,25.9,69.2,31.6,42.1,41.6,46.7,33.3,43.8
620,Ocean View (Orange),30-66613-0000000,27.8,33.9,20.8,17.5,61.7,33.3,79.8,69.5,74.7,41.6,27.8,75.9,72,56.1,67.3
621,Ocean View (Ventura),56-72512-0000000,5.1,19.4,25.7,49.8,24.5,redacted,redacted,20,45.6,22.3,redacted,45.5,41.3,21.4,27.9
622,Oceanside Unified (San Diego),37-73569-0000000,13.6,28.2,26,32.2,41.8,32.5,72.9,43.3,60.4,31.8,40.6,56.2,58.5,36.5,47.3
623,Ojai Unified (Ventura),56-72520-0000000,15.5,30.6,24.4,29.6,46,redacted,76.5,33.3,redacted,28.2,redacted,52.6,56.4,40.6,51.9
624,Old Adobe Union (Sonoma),49-70847-0000000,21.7,26.6,27.1,24.6,48.3,redacted,57.6,41.7,redacted,29.6,redacted,57.1,66.3,43.4,53.7
625,Ontario-Montclair (San Bernardino),36-67819-0000000,11.4,27,27.5,34.2,38.4,37.5,75.8,33.3,72.3,36.8,39.1,49.4,52,32.4,44.4
626,Orange Center (Fresno),10-62331-0000000,4.7,25.3,25.8,44.2,30,,31.6,redacted,,29.7,,redacted,redacted,28.3,31.6
627,Orange County Department of Education (Orange),30-10306-0000000,8,14.8,20.4,56.8,22.8,redacted,53.9,5.9,redacted,11.5,redacted,52.6,46.3,17.1,31.8
628,Orange Unified (Orange),30-66621-0000000,23,31.5,23.9,21.6,54.5,55.2,81.6,47.8,77.8,39.5,40.5,72.7,69.6,49.5,59.7
629,Orchard Elementary (Santa Clara),43-69633-0000000,17.2,33.8,19.4,29.6,51,redacted,61.6,50,75,34.5,64.3,70,58.8,43.3,58.9
630,Orcutt Union Elementary (Santa Barbara),42-69260-0000000,18.1,32.4,26.1,23.4,50.5,26.1,74.6,59.3,52.4,43.4,redacted,56.1,57,43.7,57.5
631,Orick Elementary (Humboldt),12-62968-0000000,redacted,redacted,redacted,redacted,redacted,,,,,,,,redacted,redacted,redacted
632,Orinda Union Elementary (Contra Costa),07-61770-0000000,55.3,31.1,9.7,3.8,86.5,redacted,92.3,54.8,94.7,79.5,redacted,89.5,86,83.4,89.7
633,Orland Joint Unified (Glenn),11-75481-0000000,6.8,23.1,27.4,42.7,29.9,redacted,21.4,redacted,redacted,25,,redacted,39.8,25.3,34.5
634,Oro Grande Elementary (San Bernardino),36-67827-0000000,8.4,25.3,31.3,35,33.7,36.8,redacted,29,redacted,30.5,redacted,29,43.1,30,37.8
635,Oroville City Elementary (Butte),04-61507-0000000,6.5,20.6,25.4,47.5,27.1,21.4,26.8,9.1,redacted,29.7,redacted,22.4,28.9,25.2,29.1
636,Oroville Union High (Butte),04-61515-0000000,19.8,33.2,28.6,18.4,53,72,52.3,40,redacted,46.2,,57.6,54.9,47.6,59
637,Outside Creek Elementary (Tulare),54-72025-0000000,5.3,13.2,30.3,51.3,18.4,,redacted,,,10.5,,,38.9,13.5,23.1
638,Owens Valley Unified (Inyo),14-63297-0000000,8.8,17.5,35.1,38.6,26.3,redacted,,,,17.4,,,36,25,27.6
639,Oxnard (Ventura),56-72538-0000000,5.2,17.8,25.1,52,23,13.3,55.7,25.6,53.4,21.4,36.8,42.7,44.2,18.9,27.1
640,Oxnard Union High (Ventura),56-72546-0000000,17.8,29.2,24.9,28.2,47,redacted,81.3,45.2,76.5,40.5,53.3,70.9,71.8,41.9,52.1
641,Pacheco Union Elementary (Shasta),45-70094-0000000,9,26.8,26,38.3,35.8,36.4,redacted,redacted,redacted,33.9,,27.3,35.4,27.4,44.2
642,Pacific Elementary (Santa Cruz),44-69781-0000000,35.3,19.6,15.7,29.4,54.9,,redacted,,,8.3,,redacted,64.7,43.3,71.4
643,Pacific Grove Unified (Monterey),27-66134-0000000,37.9,35.1,15.2,11.8,73,redacted,76.8,57.1,71.4,55.6,90.9,73.9,78.1,67.8,78.8
644,Pacific Union Elementary (Humboldt),12-62976-0000000,14.6,33.8,24.2,27.4,48.4,42.9,redacted,redacted,,28.4,,36.1,59.3,45.4,51.5
645,Pacific Union Elementary (Fresno),10-62356-0000000,9.6,18.3,29.1,43,27.9,redacted,58.3,redacted,,24.8,,redacted,46.2,25,31.3
646,Pacifica (San Mateo),41-68932-0000000,24.1,34.1,23.2,18.5,58.3,redacted,69.3,26.7,52.1,45.4,30.4,59,67.5,50.9,66.3
647,Pajaro Valley Unified (Santa Cruz),44-69799-0000000,10.2,20.6,25,44.2,30.7,61.1,58.7,48.2,59.1,23.9,54.6,30,63.2,26.4,35.1
648,Palermo Union Elementary (Butte),04-61523-0000000,7.2,22.8,27.6,42.4,30,31.1,41.4,redacted,redacted,26,,34.3,32.3,28.3,31.7
649,Palm Springs Unified (Riverside),33-67173-0000000,13.4,26.4,24,36.2,39.8,27.9,68.6,28.7,68.6,36.8,35.7,46,56,34.2,45.6
650,Palmdale Elementary (Los Angeles),19-64857-0000000,7.3,21,26.4,45.3,28.3,38.5,59.5,17.5,63.3,28.6,43.8,36.4,42.2,23.5,33.2
651,Palo Alto Unified (Santa Clara),43-69641-0000000,52.3,29.6,10.9,7.2,81.9,83.3,91.5,43.9,87.5,52.4,26.5,85.4,84.3,78.9,85.1
652,Palo Verde Unified (Riverside),33-67181-0000000,7.2,22.1,24.6,46.1,29.3,redacted,redacted,15.2,redacted,28,redacted,29.2,36.2,27.8,30.9
653,Palo Verde Union Elementary (Tulare),54-72033-0000000,8.4,22.5,33.4,35.7,30.9,redacted,,,,30.6,,,36.6,23.2,38.6
654,Palos Verdes Peninsula Unified (Los Angeles),19-64865-0000000,44,34.3,14.7,6.9,78.3,66.7,85.7,59.3,80.9,63.4,redacted,81.5,78,73.9,83.1
655,Panama-Buena Vista Union (Kern),15-63362-0000000,18.1,31.5,25.1,25.3,49.6,53.9,70.5,31.9,80.3,45.2,53.7,54.8,59.2,43.4,56.1
656,Panoche Elementary (San Benito),35-67520-0000000,redacted,redacted,redacted,redacted,redacted,,,,,redacted,,,,redacted,redacted
657,Paradise Elementary (Stanislaus),50-71209-0000000,24.1,25.6,27,23.4,49.6,,,,,43.6,,,redacted,42.4,56.3
658,Paradise Unified (Butte),04-61531-0000000,11.7,26.9,25,36.4,38.6,22.6,46.7,redacted,redacted,32,redacted,28.6,41.1,31.5,45.7
659,Paramount Unified (Los Angeles),19-64873-0000000,10.7,28.5,27.8,33.1,39.2,redacted,57.9,25.5,60,40.1,35.1,29.4,46.7,33.5,45
660,Parlier Unified (Fresno),10-62364-0000000,5.4,17.7,25.3,51.6,23.1,redacted,redacted,,redacted,23.2,,,redacted,17.4,29.1
661,Pasadena Unified (Los Angeles),19-64881-0000000,17.7,24.9,22.8,34.6,42.6,36.4,76.3,31.9,71.5,33.6,35,74.9,65.3,37.6,48
662,Paso Robles Joint Unified (San Luis Obispo),40-75457-0000000,19.2,30.3,24.6,25.9,49.5,61.5,79.2,51,75,38.6,redacted,59.2,63.7,44.1,54.8
663,Patterson Joint Unified (Stanislaus),50-71217-0000000,12.2,25,25.9,36.8,37.3,18.2,53.3,41.5,64.7,33,49,45,51.9,33,41.7
