,District Name,CDS Number (District),American Indian or Alaska Native (CAASPP-Math Levels 3 and 4) (District),Asian (CAASPP-Math Levels 3 and 4) (District),Black or African American (CAASPP-Math Levels 3 and 4) (District),Filipino (CAASPP-Math Levels 3 and 4) (District),Hispanic or Latino (CAASPP-Math Levels 3 and 4) (District),Native Hawaiian or Pac Islandr (CAASPP-Math Levels 3 and 4) (District),Two or More Races (CAASPP-Math Levels 3 and 4) (District),White (CAASPP-Math Levels 3 and 4) (District),Males (CAASPP-Math Levels 3 and 4) (District),Females (CAASPP-Math Levels 3 and 4) (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-Math Standard Exceeded (Level 4) (District),CAASPP-Math Standard Met (Level 3) (District),CAASPP-Math Standard Nearly Met (Level 2) (District),CAASPP-Math Standard Not Met (Level 1) (District)
289,Fremont Union High (Santa Clara),43-69468-0000000,redacted,92.6,23.8,52.4,23.6,redacted,81.5,73.7,76.1,78.7,77.4,58.1,19.3,10.9,11.8
290,French Gulch-Whiskeytown Elementary (Shasta),45-69997-0000000,,,,,redacted,,redacted,redacted,27.3,redacted,22.2,5.6,16.7,44.4,33.3
291,Freshwater Elementary (Humboldt),12-62828-0000000,redacted,redacted,,,38.1,,27.8,63.5,54.5,60.2,57.1,25.7,31.4,31,11.9
292,Fresno County Office of Education (Fresno),10-10108-0000000,redacted,redacted,0,redacted,0,,redacted,0,0,0,0,0,0,5.4,94.6
293,Fresno Unified (Fresno),10-62166-0000000,19.1,31.2,14,47.3,21.5,30.7,31.3,42.3,24.2,24.1,24.1,8.3,15.8,27,48.8
294,Fruitvale Elementary (Kern),15-63479-0000000,50,69,42.9,81.6,41.3,redacted,46.6,52.2,51,45.2,48.1,22.2,25.9,29.7,22.2
295,Fullerton Elementary (Orange),30-66506-0000000,28.1,81.8,26.9,69.4,29.5,18.2,63.2,59.1,49.1,48.7,48.9,27.1,21.7,25.3,25.8
296,Fullerton Joint Union High (Orange),30-66514-0000000,redacted,84.7,18.1,67.3,27.3,38.5,69.6,50,44.2,44.9,44.5,23.2,21.3,21.9,33.6
297,Galt Joint Union Elementary (Sacramento),34-67348-0000000,redacted,51.8,27.8,29.2,28.2,31.3,43.2,48.8,35.6,36.2,35.9,13.5,22.4,31.6,32.5
298,Galt Joint Union High (Sacramento),34-67355-0000000,,redacted,redacted,redacted,24.7,redacted,50,38.4,30.1,32.2,31.1,10.1,21.1,26,42.9
