,District Name,CDS Number (District),American Indian or Alaska Native (CAASPP-Math Levels 3 and 4) (District),Asian (CAASPP-Math Levels 3 and 4) (District),Black or African American (CAASPP-Math Levels 3 and 4) (District),Filipino (CAASPP-Math Levels 3 and 4) (District),Hispanic or Latino (CAASPP-Math Levels 3 and 4) (District),Native Hawaiian or Pac Islandr (CAASPP-Math Levels 3 and 4) (District),Two or More Races (CAASPP-Math Levels 3 and 4) (District),White (CAASPP-Math Levels 3 and 4) (District),Males (CAASPP-Math Levels 3 and 4) (District),Females (CAASPP-Math Levels 3 and 4) (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-Math Standard Exceeded (Level 4) (District),CAASPP-Math Standard Met (Level 3) (District),CAASPP-Math Standard Nearly Met (Level 2) (District),CAASPP-Math Standard Not Met (Level 1) (District)
665,Pine Ridge Elementary (Fresno),10-62372-0000000,,,redacted,,redacted,,,35.2,37.5,29.6,33.9,13.6,20.3,33.9,32.2
666,Piner-Olivet Union Elementary (Sonoma),49-70870-0000000,redacted,redacted,redacted,redacted,12.8,redacted,18.2,30,23,11.5,18,3,15,30,52
667,Pioneer Union Elementary (El Dorado),09-61945-0000000,redacted,redacted,redacted,redacted,27.8,,40,38.4,42.3,32.3,37.7,11.6,26.1,31.4,30.9
668,Pioneer Union Elementary (Butte),04-73379-0000000,redacted,,,,redacted,,redacted,10.3,10,10,10,2.5,7.5,37.5,52.5
669,Pioneer Union Elementary (Kings),16-63990-0000000,redacted,61,28.6,52.6,37.7,46.2,47.1,53.6,45.9,44.4,45.2,19.1,26.1,32,22.8
670,Pittsburg Unified (Contra Costa),07-61788-0000000,40,36.7,11.8,46.3,18.1,24.2,24.2,27.4,19,20.8,19.9,5.9,14,28.1,52
671,Pixley Union Elementary (Tulare),54-72041-0000000,redacted,redacted,7.7,,11.2,,,28,11.1,12.5,11.8,3.3,8.5,24.7,63.6
672,Placentia-Yorba Linda Unified (Orange),30-66647-0000000,58.3,88.2,37.9,75.7,41,52.2,76.8,66.7,60.4,58.5,59.4,34.3,25.2,22.3,18.3
673,Placer County Office of Education (Placer),31-10314-0000000,redacted,redacted,redacted,,7.7,,redacted,47.9,43.7,36.4,40.2,20.7,19.5,22,37.8
674,Placer Hills Union Elementary (Placer),31-66886-0000000,redacted,redacted,redacted,redacted,39.5,redacted,55.6,52.5,52.2,50.7,51.5,23.7,27.8,30.3,18.2
675,Placer Union High (Placer),31-66894-0000000,25,redacted,redacted,redacted,31.5,redacted,60.3,53.7,48.5,53.9,51.1,19.4,31.7,25,23.9
676,Placerville Union Elementary (El Dorado),09-61952-0000000,redacted,redacted,redacted,redacted,23.6,redacted,42.1,48.6,43.2,38.9,41.1,17.7,23.4,34.5,24.5
677,Plainsburg Union Elementary (Merced),24-65813-0000000,,,,,18,,,21.7,20.9,19.1,20,3.5,16.5,34.1,45.9
678,Planada Elementary (Merced),24-65821-0000000,redacted,redacted,redacted,,12.3,,,redacted,12.5,12.6,12.5,2.2,10.3,31.3,56.2
679,Plaza Elementary (Glenn),11-62638-0000000,redacted,redacted,,,27,,redacted,54.3,50,45.9,48.1,16.3,31.8,35.7,16.3
680,Pleasant Grove Joint Union (Sutter),51-71431-0000000,redacted,redacted,redacted,,35.3,redacted,redacted,56.7,47.5,58.1,52.9,23.6,29.3,36.6,10.6
681,Pleasant Ridge Union Elementary (Nevada),29-66373-0000000,redacted,redacted,redacted,redacted,38.3,redacted,40.4,49.1,49.6,45.1,47.6,21.1,26.5,31.3,21.1
682,Pleasant Valley (Ventura),56-72553-0000000,26.7,77.1,24.3,54.9,30.9,58.3,52.1,57.3,49.6,46.9,48.3,23.5,24.8,28.6,23.1
683,Pleasant Valley Joint Union Elementary (San Luis Obispo),40-68791-0000000,,,,,30.4,redacted,redacted,16.7,38.9,16.2,23.6,5.5,18.2,34.6,41.8
684,Pleasant View Elementary (Tulare),54-72058-0000000,redacted,,,4.8,10,,,redacted,10.7,8.6,9.6,1.8,7.8,25,65.4
685,Pleasanton Unified (Alameda),01-75101-0000000,redacted,91.2,46.8,72.8,47.8,53.3,75.4,71.7,77,76.8,76.9,52.2,24.8,14.5,8.6
686,Plumas County Office of Education (Plumas),32-10322-0000000,redacted,,redacted,,redacted,,redacted,0,0,redacted,0,0,0,16.7,83.3
687,Plumas Lake Elementary (Yuba),58-72744-0000000,50,48.6,24.1,64.3,31.8,redacted,38.6,42.6,43.5,35.4,39.9,17.5,22.4,33.4,26.7
688,Plumas Unified (Plumas),32-66969-0000000,20.8,redacted,18.2,redacted,20.1,,25.6,37.3,30.9,34.8,33,10.7,22.3,30.3,36.8
689,Point Arena Joint Union High (Mendocino),23-65599-0000000,redacted,,,,0,,,18.2,0,11.8,6.5,3.2,3.2,6.5,87.1
690,Pollock Pines Elementary (El Dorado),09-61960-0000000,redacted,redacted,redacted,redacted,19.7,redacted,redacted,35,34.8,30.5,32.7,12.9,19.8,36.7,30.7
691,Pomona Unified (Los Angeles),19-64907-0000000,34.5,62.4,15.5,56.7,22.8,22.2,41.7,44,25.2,24.9,25.1,8.1,17,28.4,46.6
692,Pond Union Elementary (Kern),15-63719-0000000,redacted,redacted,,,20.2,,,redacted,17.7,26.5,22.3,6.2,16.2,33.1,44.6
693,Pope Valley Union Elementary (Napa),28-66282-0000000,redacted,,,,8,,redacted,7.1,8.3,5.6,7.1,2.4,4.8,33.3,59.5
694,Porterville Unified (Tulare),54-75523-0000000,19.1,41.1,26.5,55.3,20.8,13.3,38.2,31.7,22.6,23.2,22.9,6.9,16,27.6,49.6
695,Portola Valley Elementary (San Mateo),41-68981-0000000,,86.4,redacted,,46,redacted,94.1,88.5,80.7,81.8,81.2,60,21.2,12.9,5.9
696,Potter Valley Community Unified (Mendocino),23-73866-0000000,redacted,,redacted,,14.3,,redacted,22.5,15.5,25,19.9,3.1,16.8,36.6,43.5
697,Poway Unified (San Diego),37-68296-0000000,47.2,85.9,39.7,66.6,43.9,39.7,68.9,66,67,65.9,66.5,40.5,25.9,20.8,12.8
698,Princeton Joint Unified (Glenn),11-62646-0000000,,,redacted,,25.8,,,52.8,37,32,34.6,13.5,21.2,30.8,34.6
699,Raisin City Elementary (Fresno),10-62380-0000000,,redacted,,,15.2,,,redacted,17.4,12,15,2.4,12.6,26.4,58.7
700,Ramona City Unified (San Diego),37-68304-0000000,39.3,47.6,22.2,redacted,24.6,redacted,39.5,47.7,40.7,35.9,38.4,14.8,23.6,30.3,31.3
701,Ravendale-Termo Elementary (Lassen),18-64162-0000000,,,,,redacted,,,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted
702,Ravenswood City Elementary (San Mateo),41-68999-0000000,redacted,redacted,8.5,redacted,13.1,11.7,15.8,redacted,13.1,12.3,12.7,2.8,10,25.9,61.4
703,Raymond-Knowles Union Elementary (Madera),20-65276-0000000,redacted,redacted,,redacted,30.8,,redacted,37.5,32.1,39.4,36.1,6.6,29.5,47.5,16.4
704,Red Bluff Joint Union High (Tehama),52-71639-0000000,16.7,redacted,redacted,redacted,10.4,,redacted,18.4,17.3,15.1,16.1,4,12.1,27.4,56.5
705,Red Bluff Union Elementary (Tehama),52-71621-0000000,23.5,redacted,14.3,redacted,22.9,redacted,30.4,36.4,30.9,30.1,30.5,11.5,19.1,29.2,40.3
706,Redding Elementary (Shasta),45-70110-0000000,36.4,50,33.3,redacted,32.2,redacted,31.3,45.5,43.5,41,42.2,18.9,23.3,29.2,28.6
707,Redlands Unified (San Bernardino),36-67843-0000000,42.5,71.8,25.8,65.4,33,29,54.6,55.6,43.6,44.7,44.1,21.3,22.8,27,28.9
708,Redondo Beach Unified (Los Angeles),19-75341-0000000,47.1,81.8,40.2,74.7,48.2,52.6,71.7,71.4,66,65.2,65.6,37.8,27.8,20.9,13.5
709,Redwood City Elementary (San Mateo),41-69005-0000000,redacted,77.8,30.2,70.2,27,23.3,72.5,69.7,38.9,38.8,38.9,19.2,19.7,26.4,34.7
710,Reed Union Elementary (Marin),21-65425-0000000,redacted,83.8,redacted,redacted,62.2,redacted,92,79,79.7,78.4,79,49.9,29.2,15.1,5.9
711,Reeds Creek Elementary (Tehama),52-71647-0000000,redacted,redacted,redacted,,redacted,,,26,28.6,20.8,24.7,9.3,15.5,30.9,44.3
712,Reef-Sunset Unified (Kings),16-73932-0000000,redacted,,,,13.9,,redacted,15,14,13.9,13.9,3.2,10.7,21.9,64.2
713,Rescue Union Elementary (El Dorado),09-61978-0000000,redacted,82.6,56.5,56.5,48.8,redacted,70.5,65.2,64.1,63,63.6,33.9,29.7,24.1,12.3
714,Rialto Unified (San Bernardino),36-67850-0000000,18.2,50.8,13.4,44.8,17.8,20,29.1,28.9,18,18.6,18.3,4.7,13.5,27.4,54.3
715,Richfield Elementary (Tehama),52-71654-0000000,redacted,redacted,redacted,,31.6,,redacted,41.9,37.5,36.7,37,9.3,27.8,33.3,29.6
716,Richgrove Elementary (Tulare),54-72082-0000000,redacted,redacted,,redacted,9.2,,,redacted,11.8,6.9,9.4,1.7,7.6,22.9,67.7
717,Richland Union Elementary (Kern),15-63578-0000000,,16.7,redacted,,22.6,redacted,redacted,36.2,22.7,23.3,23,6.9,16.1,26.4,50.6
718,Richmond Elementary (Lassen),18-64170-0000000,,,,,56.3,redacted,redacted,48.8,43.1,53.2,48.3,11.3,37.1,35.8,15.9
719,Rim of the World Unified (San Bernardino),36-67868-0000000,redacted,66.7,13.3,redacted,18.1,redacted,24.4,28.9,25.3,23.7,24.5,7.2,17.3,32.3,43.2
720,Rincon Valley Union Elementary (Sonoma),49-70896-0000000,36.4,71.3,37.7,52.2,29,24.2,54.4,56.2,49.4,46.5,48,21,27,28.1,24
721,Rio Bravo-Greeley Union Elementary (Kern),15-73544-0000000,35.7,30.8,redacted,redacted,24,redacted,,39.8,33.6,32.3,33,13.1,19.9,33,34
722,Rio Dell Elementary (Humboldt),12-63008-0000000,18.2,,redacted,redacted,5.8,,16.7,21.3,14.3,20.2,17.3,4.2,13.1,35.1,47.7
723,Rio Elementary (Ventura),56-72561-0000000,redacted,71,29,57.3,21.4,redacted,40.8,46.4,25.5,23.5,24.5,8.1,16.4,29.8,45.7
724,Ripon Unified (San Joaquin),39-68650-0000000,redacted,75,45.5,65,36.3,redacted,53.2,49.6,45.8,46.8,46.3,20.9,25.4,31.9,21.8
725,River Delta Joint Unified (Sacramento),34-67413-0000000,redacted,redacted,21.4,redacted,24.9,redacted,41.7,35.3,30.2,28.8,29.5,11.2,18.3,32.5,38.1
726,Riverbank Unified (Stanislaus),50-75556-0000000,redacted,redacted,28.6,redacted,20.1,redacted,redacted,27.2,20.4,22.7,21.5,5.3,16.3,29.3,49.2
727,Riverdale Joint Unified (Fresno),10-75408-0000000,redacted,redacted,redacted,redacted,22.6,,redacted,37.2,27.2,23.6,25.5,5.8,19.6,32.7,41.9
728,Riverside County Office of Education (Riverside),33-10330-0000000,redacted,,2.6,redacted,1.3,redacted,redacted,3.2,1.7,2.2,1.9,0.3,1.5,5.8,92.3
729,Riverside Unified (Riverside),33-67215-0000000,27.5,71.6,27,70.5,26.1,37.5,53.8,49.8,34.6,33.6,34.1,14,20.2,28.8,37.1
730,Roberts Ferry Union Elementary (Stanislaus),50-71233-0000000,,redacted,redacted,,32.1,,redacted,36.2,37.5,32.7,34.5,11.5,23,37.9,27.6
731,Robla Elementary (Sacramento),34-67421-0000000,26.7,31.1,15.8,37.5,22.5,14.3,29.4,39.4,24.9,25.7,25.3,7,18.3,30,44.7
732,Rockford Elementary (Tulare),54-72090-0000000,redacted,redacted,,redacted,20.2,,redacted,34.6,30.3,23.7,27.1,2.5,24.6,34.6,38.3
733,Rocklin Unified (Placer),31-75085-0000000,37.1,81,46.9,71.8,47.6,50,66.4,63.1,62.2,62.3,62.2,32.4,29.9,24.6,13.1
734,Romoland Elementary (Riverside),33-67231-0000000,redacted,60,22.1,61.7,25.4,46.7,44.4,37,30.1,28.2,29.2,9.3,19.8,29.1,41.7
735,Rosedale Union Elementary (Kern),15-63750-0000000,39.3,71.5,36.1,67.8,39.3,redacted,64.9,53.1,50.6,47.7,49.2,22.6,26.6,28.9,22
736,Roseland (Sonoma),49-70904-0000000,25,41.7,redacted,redacted,30.3,redacted,35,38.5,34.9,27.6,31.1,10.1,21,34.9,34
737,Rosemead Elementary (Los Angeles),19-64931-0000000,redacted,74.5,redacted,65,27,,redacted,46.7,51.5,55.4,53.5,28.6,24.8,25.6,20.9
738,Roseville City Elementary (Placer),31-66910-0000000,17.9,71.7,35.4,72.4,33.5,44.8,57.6,55.4,51.7,51.6,51.7,24.2,27.5,27.9,20.4
739,Roseville Joint Union High (Placer),31-66928-0000000,redacted,70.8,39.1,69.9,33.4,33.3,59.9,49.3,50.7,46.8,48.8,20,28.8,27.9,23.3
740,Ross Elementary (Marin),21-65433-0000000,redacted,redacted,,,76.5,redacted,redacted,80,79.8,78.8,79.3,52.6,26.7,15.4,5.3
741,Ross Valley Elementary (Marin),21-75002-0000000,redacted,76.7,31.3,redacted,54,redacted,72.7,73.9,73.3,68.9,71.2,40.9,30.3,20.1,8.7
742,Round Valley Joint Elementary (Inyo),14-63305-0000000,redacted,,,,43.8,,redacted,66.7,57.5,63.6,60.7,35.7,25,27.4,11.9
743,Round Valley Unified (Mendocino),23-65607-0000000,13.2,,,,10.8,,redacted,redacted,15.8,9.5,12.7,2,10.7,26,61.3
744,Rowland Unified (Los Angeles),19-73452-0000000,redacted,76,25.6,57.7,26.1,31.3,69.6,46.5,40.1,40.9,40.5,18.3,22.2,27,32.5
745,Sacramento City Unified (Sacramento),34-67439-0000000,23.6,42.3,14.4,42.5,22.8,18.4,38.9,51.8,31.2,31.8,31.5,13.7,17.8,26.5,42
746,Sacramento County Office of Education (Sacramento),34-10348-0000000,redacted,redacted,1.8,redacted,1.5,redacted,0,4.8,3.6,0,2.7,0,2.7,9.1,88.2
747,Saddleback Valley Unified (Orange),30-73635-0000000,59.3,80.7,29.3,55.2,31,48.5,64.7,62,52.7,50.9,51.8,26.7,25.2,26.4,21.8
748,Saint Helena Unified (Napa),28-66290-0000000,redacted,redacted,,,29.3,,redacted,72.4,53.3,46.5,49.8,25,24.8,29.8,20.4
749,Salida Union Elementary (Stanislaus),50-71266-0000000,redacted,41.5,26.5,66.7,25,27.3,38.5,37.5,30.2,28.2,29.2,9.6,19.6,32,38.8
750,Salinas City Elementary (Monterey),27-66142-0000000,redacted,53.1,5.4,32.8,16.2,redacted,32.1,36.7,19.2,16.6,17.9,4.8,13.1,28.5,53.6
751,Salinas Union High (Monterey),27-66159-0000000,redacted,53.1,15.7,44.6,19.2,45.5,23.5,34.2,20.3,22,21.2,5.6,15.5,27.2,51.6
752,San Antonio Union Elementary (Monterey),27-66167-0000000,redacted,,redacted,redacted,14.7,,redacted,10,20,17.4,18.9,0.9,18,29.7,51.4
753,San Ardo Union Elementary (Monterey),27-66175-0000000,,,,,5,,,redacted,6.3,3.3,4.8,0,4.8,25.8,69.4
754,San Benito County Office of Education (San Benito),35-10355-0000000,,,,,0,,,redacted,0,redacted,0,0,0,19.2,80.8
755,San Benito High (San Benito),35-67538-0000000,redacted,54.6,redacted,redacted,25.4,,redacted,43.9,31.4,30.2,30.9,9.8,21.1,31.6,37.6
756,San Bernardino City Unified (San Bernardino),36-67876-0000000,21.1,48,14.1,52.3,23.3,21.8,24.2,33.5,23.1,23.5,23.3,7.2,16.1,29.1,47.6
757,San Bernardino County Office of Education (San Bernardino),36-10363-0000000,redacted,redacted,0.9,redacted,1.7,redacted,redacted,4.2,1.5,3.5,1.9,0.2,1.7,6.9,91.1
758,San Bruno Park Elementary (San Mateo),41-69013-0000000,redacted,70.6,35.5,64.2,33.4,33.7,60,57.9,47.3,48.3,47.8,19.1,28.7,26.3,25.9
759,San Carlos Elementary (San Mateo),41-69021-0000000,redacted,88.6,23.1,69.2,56.3,redacted,81.9,75.4,75,71.9,73.5,47.6,25.9,17,9.6
760,San Diego County Office of Education (San Diego),37-10371-0000000,redacted,redacted,1.1,redacted,2.2,redacted,0,6.8,2.6,3.3,2.9,0,2.9,11.8,85.4
761,San Diego Unified (San Diego),37-68338-0000000,44.2,69,25.4,57.6,29.7,35.6,59.4,68.1,46.6,45.4,46,24.3,21.7,24.9,29.1
762,San Dieguito Union High (San Diego),37-68346-0000000,68.2,91.7,36.8,81.6,47.8,72.7,82.2,71.3,71.3,72.1,71.7,48.3,23.4,16.8,11.5
763,San Francisco County Office of Education (San Francisco),38-10389-0000000,,redacted,redacted,redacted,redacted,redacted,redacted,redacted,11.1,23.5,17.1,11.4,5.7,20,62.9
764,San Francisco Unified (San Francisco),38-68478-0000000,37.2,72.2,13.3,43.5,21.5,18.5,58.7,70.3,50.2,51.8,51,28.3,22.6,21.3,27.7
765,San Gabriel Unified (Los Angeles),19-75291-0000000,redacted,69.4,26.3,64.7,23.3,redacted,49,45.7,49.4,51.4,50.4,26,24.4,24.1,25.4
766,San Jacinto Unified (Riverside),33-67249-0000000,25.8,58.5,13.7,38.7,18.6,25,26.2,28.8,21.1,19.8,20.5,5.7,14.7,28.2,51.3
767,San Joaquin County Office of Education (San Joaquin),39-10397-0000000,redacted,7.1,0,redacted,0.6,redacted,6.7,1.8,1.3,1.1,1.2,0.3,0.9,6.4,92.4
768,San Jose Unified (Santa Clara),43-69666-0000000,27.1,81.9,26.9,48.8,22.1,28.1,65.2,63.5,45,42.2,43.6,23.5,20.1,23.8,32.6
769,San Juan Unified (Sacramento),34-67447-0000000,18.6,54.5,13.1,40.1,20,25,32.5,40.6,34.1,34,34.1,15.1,19,26.9,39
770,San Leandro Unified (Alameda),01-61291-0000000,25,52.3,10.4,33.7,17.8,11.7,32.7,36.7,26,25.2,25.6,9.4,16.2,29.2,45.2
771,San Lorenzo Unified (Alameda),01-61309-0000000,27.8,55.5,7.3,39.2,15.4,18.9,27.3,27.7,23.5,22.5,23,7.7,15.3,29.6,47.4
772,San Lorenzo Valley Unified (Santa Cruz),44-69807-0000000,redacted,redacted,redacted,redacted,26.1,redacted,43.6,45.4,41.4,44.5,42.9,18.5,24.4,29,28.1
773,San Lucas Union Elementary (Monterey),27-66183-0000000,redacted,,,,6.3,redacted,,redacted,17.7,0,7.7,0,7.7,38.5,53.9
774,San Luis Coastal Unified (San Luis Obispo),40-68809-0000000,38.5,80.7,37.9,60,40,redacted,72.6,71.4,61.5,61.6,61.6,34,27.5,21.2,17.3
775,San Luis Obispo County Office of Education (San Luis Obispo),40-10405-0000000,redacted,redacted,redacted,redacted,1.5,redacted,redacted,6.7,3,1.8,2.6,0,2.6,5.2,92.2
776,San Marcos Unified (San Diego),37-73791-0000000,41.7,81.9,36.3,70.5,30.9,44.7,redacted,64.6,50.3,49.2,49.7,25.8,24,25.2,25
777,San Mateo County Office of Education (San Mateo),41-10413-0000000,,redacted,redacted,redacted,0,redacted,redacted,redacted,2.6,0,2,0,2,5.9,92.2
778,San Mateo Union High (San Mateo),41-69047-0000000,redacted,85.2,27.3,58.7,26.9,23.1,58.7,64.6,55.3,56.5,55.8,31.7,24.2,20.6,23.6
779,San Mateo-Foster City (San Mateo),41-69039-0000000,redacted,83.9,32.5,56.5,23.7,28.5,75.2,67.1,55.4,54.3,54.9,33.3,21.6,21.9,23.2
780,San Miguel Joint Union (San Luis Obispo),40-68825-0000000,redacted,,redacted,redacted,30.2,redacted,redacted,39.7,32.5,35.6,34,10,24,34.8,31.3
781,San Pasqual Union Elementary (San Diego),37-68353-0000000,redacted,redacted,redacted,redacted,35.7,,73.9,59.5,55.3,50.5,52.8,22,30.8,30.8,16.4
782,San Pasqual Valley Unified (Imperial),13-63214-0000000,10.4,,,,14.2,,12.5,redacted,12.4,12.6,12.5,2.9,9.6,23.2,64.3
783,San Rafael City Elementary (Marin),21-65458-0000000,redacted,80,30.3,redacted,23.2,redacted,18.2,75.4,41.1,36.3,38.7,18.7,20,25.4,35.9
784,San Rafael City High (Marin),21-65466-0000000,redacted,54.3,redacted,redacted,14.7,,redacted,49.5,27.1,31.6,29.3,10.8,18.5,24.5,46.2
785,San Ramon Valley Unified (Contra Costa),07-61804-0000000,85.7,90.4,48,76.7,59.4,77.1,75.5,70,77.4,76.7,77.1,50.3,26.8,15.9,7
786,San Ysidro Elementary (San Diego),37-68379-0000000,redacted,41.7,31.6,72.4,24.2,redacted,51.6,50,28.1,26.1,27.1,9.9,17.2,28.5,44.4
787,Sanger Unified (Fresno),10-62414-0000000,52.9,52.7,33.8,86.4,33.4,redacted,52,57.9,37.6,41.7,39.6,15.6,24,29.8,30.6
788,Santa Ana Unified (Orange),30-66670-0000000,25.5,65.7,17.1,58.2,21.1,38.7,38.5,46.1,22.8,22,22.4,7.1,15.3,29.6,48
789,Santa Barbara County Office of Education (Santa Barbara),42-10421-0000000,redacted,redacted,redacted,,1.5,,redacted,27.8,8,6.7,7.8,5.6,2.2,5.6,86.7
790,Santa Barbara Unified (Santa Barbara),42-76786-0000000,40.6,74,32.9,61.5,26.8,redacted,76.7,67.3,43,42.3,42.7,21.4,21.3,25.6,31.7
791,Santa Clara County Office of Education (Santa Clara),43-10439-0000000,redacted,redacted,redacted,redacted,0.8,redacted,redacted,10.5,2.5,0,1.8,0,1.8,10.4,87.8
792,Santa Clara Elementary (Ventura),56-72579-0000000,,,,,38.5,,redacted,61.5,54.6,55.6,55.2,37.9,17.2,34.5,10.3
793,Santa Clara Unified (Santa Clara),43-69674-0000000,33.3,77.8,30.6,50.2,23.3,17,57.4,60.6,49.2,49.5,49.4,28,21.4,23.6,27.1
794,Santa Cruz City Elementary (Santa Cruz),44-69815-0000000,redacted,63.3,7.7,redacted,22.3,redacted,62.5,61.3,46.8,43.8,45.3,18.9,26.4,25.5,29.2
795,Santa Cruz City Elementary/High (Santa Cruz),44-40261-0000000,,,,,,,,,,,,,,,
796,Santa Cruz City High (Santa Cruz),44-69823-0000000,redacted,72.6,39.1,35,21.2,redacted,62.8,54.1,40,43.4,41.6,18.3,23.3,25.6,32.8
797,Santa Cruz County Office of Education (Santa Cruz),44-10447-0000000,redacted,88.2,redacted,,17.8,,68.4,56.2,44.1,46.4,45.2,26.3,18.9,15.6,39.2
798,Santa Maria Joint Union High (Santa Barbara),42-69310-0000000,redacted,65,13.6,39,16.9,redacted,12.5,19.7,16.4,20,18.1,4.5,13.6,23.8,58.1
799,Santa Maria-Bonita (Santa Barbara),42-69120-0000000,26.3,33.9,20,46.4,20.3,redacted,40,31.6,21.1,21.3,21.2,6,15.2,30.1,48.8
800,Santa Monica-Malibu Unified (Los Angeles),19-64980-0000000,71.4,84.9,35.9,69.8,40.2,redacted,72.4,74.1,61.9,61.7,61.8,37,24.8,21.5,16.7
801,Santa Paula Unified (Ventura),56-76828-0000000,redacted,redacted,redacted,,22.6,redacted,redacted,38.5,23.2,23.5,23.3,6.6,16.7,29.1,47.6
802,Santa Rita Union Elementary (Monterey),27-66191-0000000,redacted,53.6,20,40.5,19.4,redacted,redacted,34.1,21.9,21.4,21.7,6.8,14.9,34,44.4
803,Santa Rosa Elementary (Sonoma),49-70912-0000000,5.3,59.6,23.4,45.2,16.6,redacted,45.6,45.1,29.1,24.7,26.9,9.5,17.4,30.5,42.7
804,"Santa Rosa Elementary-High, City Of (Sonoma)",49-40253-0000000,,,,,,,,,,,,,,,
805,Santa Rosa High (Sonoma),49-70920-0000000,20.9,61,21.9,52,16.2,11.1,45.3,50.9,33.4,34.1,33.7,16.6,17.1,22.6,43.7
806,Santa Ynez Valley Union High (Santa Barbara),42-69328-0000000,redacted,redacted,redacted,,28.3,,redacted,66.4,51.6,44.9,48.5,15.6,32.9,24.7,26.8
807,Santee (San Diego),37-68361-0000000,33.3,64.7,28.1,65.3,39.8,57.1,51.6,50.3,48.1,46.7,47.4,21.1,26.3,28.8,23.8
808,Saucelito Elementary (Tulare),54-72108-0000000,,,,,23.5,,redacted,43.5,25,36.7,31,15.5,15.5,37.9,31
809,Saugus Union (Los Angeles),19-64998-0000000,41.7,80,40.7,67.8,36.5,60,60.4,54.6,52.8,49.1,51,22.4,28.7,29.9,19.1
810,Sausalito Marin City (Marin),21-65474-0000000,,redacted,13.2,redacted,9.1,,redacted,redacted,15.8,15.4,15.6,5.2,10.4,33.8,50.7
811,Savanna Elementary (Orange),30-66696-0000000,redacted,77.6,33.3,52.9,31.3,redacted,48.9,43.4,41.1,42.6,41.8,21.2,20.7,28.5,29.7
812,SBC - High Tech High (San Diego),37-76471-0000000,,,,,,,,,,,,,,,
813,SBE - Academia Avance Charter (Los Angeles),19-76968-0000000,,,,,15.3,,,,15.5,14,14.8,2.9,11.9,22.9,62.4
814,SBE - Anahuacalmecac International University Preparatory of North America (Los Angeles),19-76885-0000000,,,redacted,,6,,redacted,redacted,7.6,4,5.8,1,4.9,22.3,71.8
815,SBE - Audeo Charter II (San Diego),37-77032-0000000,,redacted,redacted,redacted,14.6,redacted,redacted,29,22.9,22,22.5,7.1,15.3,29.6,48
816,SBE - Barack Obama Charter (Los Angeles),19-76547-0000000,redacted,,20.7,redacted,21.7,,redacted,redacted,19.5,23,21.2,3.2,18,31.4,47.4
817,SBE - Baypoint Preparatory Academy (Riverside),33-76943-0000000,,redacted,27.3,redacted,19.8,redacted,redacted,38.2,29.5,29.6,29.5,13,16.6,35.8,34.7
818,SBE - Lifeline Education Charter (Los Angeles),19-76497-0000000,,,17.1,,23,,redacted,,24.5,20.6,22.6,7.9,14.6,27.4,50
819,SBE - Magnolia Science Academy Santa Ana (Orange),30-76893-0000000,redacted,redacted,redacted,,27.8,redacted,redacted,65.9,37,28.3,32.5,12.5,20,32.2,35.3
820,SBE - New West Charter (Los Angeles),19-75663-0000000,redacted,79.5,27.6,redacted,36.5,redacted,68.2,66.8,56.7,56.8,56.7,31,25.8,27.1,16.2
821,SBE - Olive Grove Charter (Santa Barbara),42-76950-0000000,,,redacted,redacted,3.9,redacted,redacted,15,12.9,9.9,11.1,2.9,8.2,23.4,65.5
822,SBE - OnePurpose (San Francisco),38-76919-0000000,,,,,,,,,,,,,,,
823,SBE - Paramount Collegiate Academy (Sacramento),34-76935-0000000,,redacted,redacted,,16.7,,,25,20.7,20.8,20.8,5.7,15.1,18.9,60.4
824,SBE - Prepa Tec Los Angeles High (Los Angeles),19-76992-0000000,,,,,,,,,,,,,,,
825,SBE - Ridgecrest Charter (Kern),15-75630-0000000,,redacted,redacted,redacted,21.3,,12.5,35,28,28.5,28.3,10.6,17.7,39.2,32.5
826,SBE - Rocketship Futuro Academy (Contra Costa),07-77024-0000000,,,,,,,,,,,,,,,
827,SBE - The New School of San Francisco (San Francisco),38-76927-0000000,,,,,,,,,,,,,,,
828,SBE - The School of Arts and Enterprise (Los Angeles),19-75697-0000000,redacted,redacted,11.8,redacted,17.1,redacted,redacted,25.6,23.5,15.5,18.7,4.1,14.6,29.3,52
829,SBE - Thrive Public (San Diego),37-76901-0000000,redacted,redacted,0,redacted,12.9,redacted,redacted,35.2,23.3,14.1,19.6,7.2,12.4,25.8,54.6
830,Scotia Union Elementary (Humboldt),12-63024-0000000,redacted,redacted,,,35.3,,25,38.3,37,38.8,37.6,12.1,25.5,31.9,30.5
831,Scott Valley Unified (Siskiyou),47-76455-0000000,27.1,redacted,redacted,,52.3,,33.3,52.9,47.2,50,48.4,22.5,26,30.6,21
832,Scotts Valley Unified (Santa Cruz),44-75432-0000000,redacted,91.8,redacted,redacted,42.2,,78.7,66,66.6,62.6,64.6,36.1,28.5,22.9,12.6
833,Sebastopol Union Elementary (Sonoma),49-70938-0000000,redacted,redacted,redacted,,21,redacted,52.6,40.1,30.3,33.3,31.7,13.1,18.6,28.2,40.1
834,Seeley Union Elementary (Imperial),13-63222-0000000,,,redacted,redacted,31.9,,redacted,58.3,35.5,31.5,33.7,12.9,20.8,32.2,34.2
